currency,ticker,basic
EUR,EE0001W Index,"0,50"
USD,US0001W Index,"0,50"
GBP,BP0001W Index,"0,50"
AUD,ADDR1Z Curncy,"0,50"
CHF,SF0001W Index,"0,50"
NZD,NDDR1Z Curncy,"0,50"
CAD,CDDR1Z Curncy,"0,50"
PLN,PZDR1Z Index,"0,50"
JPY,JY0001W Index,"0,50"
SEK,SKDR1Z Curncy,"0,50"
CZK,CKDR1Z Index,"0,50"
NOK,NKDR1Z Index,"0,50"
ZAR,SAONBOR Index,"0,50"
MXN,MPDR1T Index,"0,50"
HUF,HFDR01W Index,"0,50"
RON,BUBRSW Index,"0,50"
TRY,TRLIB1W Index,"0,50"
CLP,CHN1M Curncy,"0,50"
BRL,BCDRA TPMM Curncy,"0,50"
ILS,TElBOR01 Index,"0,50"